Distrito;Total;España;Otro país;% de extranjeros
Ciudad de Madrid;3.339.295;2.786.656;552.576;"16,55"
01. Centro;140.853;102.714;38.133;"27,07"
02. Arganzuela;154.073;137.201;16.867;"10,95"
03. Retiro;118.550;107.707;10.841;"9,14"
04. Salamanca;146.108;122.831;23.277;"15,93"
05. Chamartín;145.298;129.918;15.379;"10,58"
06. Tetuán;160.109;126.504;33.602;"20,99"
07. Chamberí;138.656;120.452;18.203;"13,13"
08. Fuencarral-El Pardo;249.095;225.433;23.662;"9,5"
09. Moncloa-Aravaca;121.580;107.564;14.014;"11,53"
10. Latina;241.501;196.717;44.781;"18,54"
11. Carabanchel;261.754;201.934;59.815;"22,85"
12. Usera;143.506;107.573;35.926;"25,03"
13. Puente de Vallecas;240.659;188.884;51.770;"21,51"
14. Moratalaz;93.349;82.646;10.703;"11,47"
15. Ciudad Lineal;218.259;182.216;36.040;"16,51"
16. Hortaleza;198.236;174.527;23.706;"11,96"
17. Villaverde;157.812;121.628;36.182;"22,93"
18. Villa de Vallecas;116.886;99.209;17.665;"15,11"
19. Vicálvaro;82.338;70.570;11.767;"14,29"
20. San Blas-Canillejas;161.802;136.658;25.143;"15,54"
21. Barajas;48.871;43.770;5.100;"10,44"
